domain,title,instructor,rating,students,price,level,url
Cybersecurity,The Complete Cyber Security Course: Hackers Exposed!,Nathan House,4.5,"300,000",$84.99,All Levels,https://www.udemy.com/course/the-complete-internet-security-privacy-course-volume-1/
Cybersecurity,Complete Ethical Hacking Bootcamp 2024: Zero to Mastery,Andrei Neagoie,4.6,"150,000",$84.99,All Levels,https://www.udemy.com/course/complete-ethical-hacking-bootcamp-zero-to-mastery/
Cybersecurity,Learn Ethical Hacking From Scratch,Zaid Sabih,4.6,"400,000",$84.99,Beginner,https://www.udemy.com/course/learn-ethical-hacking-from-scratch/
Cybersecurity,CompTIA Security+ (SY0-601) Complete Course & Exam,Jason Dion,4.7,"200,000",$84.99,Intermediate,https://www.udemy.com/course/securityplus/
Cybersecurity,Practical Ethical Hacking - The Complete Course,Heath Adams,4.7,"180,000",$84.99,All Levels,https://www.udemy.com/course/practical-ethical-hacking/
DevOps,DevOps Beginners to Advanced with Projects,Imran Teli,4.5,"200,000",$84.99,All Levels,https://www.udemy.com/course/decodingdevops/
DevOps,Docker Mastery: with Kubernetes +Swarm from a Docker Captain,Bret Fisher,4.6,"250,000",$84.99,All Levels,https://www.udemy.com/course/docker-mastery/
DevOps,"Jenkins, From Zero To Hero: Become a DevOps Jenkins Master",Ricardo Andre Gonzalez Gomez,4.5,"150,000",$84.99,All Levels,https://www.udemy.com/course/jenkins-from-zero-to-hero/
DevOps,Kubernetes for the Absolute Beginners - Hands-on,Mumshad Mannambeth,4.6,"300,000",$84.99,Beginner,https://www.udemy.com/course/learn-kubernetes/
DevOps,Complete DevOps Bootcamp 2024,Andrei Neagoie,4.6,"100,000",$84.99,All Levels,https://www.udemy.com/course/complete-devops-bootcamp/
