title;url;rating;num_reviews;num_students;duration;level;platform;instructor
Introduction to Data Science Techniques;https://www.coursera.org/specializations/introduction-to-data-science-techniques;4.3;21;0;Specialization · 3 - 6 Months;Intermediate;Coursera;Illinois Tech
Foundations: Data, Data, Everywhere;https://www.coursera.org/learn/foundations-data;4.8;121000;0;Course · 1 - 4 Weeks;Beginner;Coursera;Google
Advanced Statistical Techniques for Data Science;https://www.coursera.org/specializations/advanced-statistical-techniques-for-data-science;4.5;47;0;Specialization · 3 - 6 Months;Intermediate;Coursera;Illinois Tech
Data Science for Health Research;https://www.coursera.org/specializations/data-science-for-health-research;4.9;12;0;Specialization · 1 - 3 Months;Beginner;Coursera;University of Michigan
Programming for Python Data Science: Principles to Practice;https://www.coursera.org/specializations/python-for-data-science;4.0;93;0;Specialization · 3 - 6 Months;Beginner;Coursera;Duke University
Practical Data Science for Data Analysts;https://www.coursera.org/specializations/practical-data-science-for-data-analysts;4.8;28;0;Specialization · 3 - 6 Months;Advanced;Coursera;Corporate Finance Institute
Tools for Data Science;https://www.coursera.org/learn/open-source-tools-for-data-science;4.5;30000;0;Course · 1 - 3 Months;Beginner;Coursera;IBM
Data Analysis and Visualization with Power BI;https://www.coursera.org/learn/data-analysis-and-visualization-with-power-bi;4.7;979;0;Course · 1 - 3 Months;Beginner;Coursera;Microsoft
AI Python for Beginners;https://www.coursera.org/learn/ai-python-for-beginners;4.8;226;0;Course · 1 - 4 Weeks;Beginner;Coursera;DeepLearning.AI
Introduction to Python Fundamentals;https://www.coursera.org/learn/introduction-python-fundamentals;4.8;226;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of Colorado Boulder
Statistical Modeling for Data Science Applications;https://www.coursera.org/specializations/statistical-modeling-for-data-science-applications;4.2;55;0;Specialization · 3 - 6 Months;Intermediate;Coursera;University of Colorado Boulder
Expressway to Data Science: Python Programming;https://www.coursera.org/specializations/python-programming-data-science;4.7;308;0;Specialization · 1 - 3 Months;Beginner;Coursera;University of Colorado Boulder
Crash Course on Python;https://www.coursera.org/learn/python-crash-course;4.8;40000;0;Course · 1 - 3 Months;Beginner;Coursera;Google
Statistics for Data Science Essentials;https://www.coursera.org/learn/statistics-for-data-science-essentials;4.5;11;0;Course · 1 - 4 Weeks;Intermediate;Coursera;University of Pennsylvania
Programming for Data Science;https://www.coursera.org/learn/programming-for-data-science;4.4;30;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of Leeds
SQL für Data Science;https://www.coursera.org/learn/sql-for-data-science-de;4.2;30;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of California, Davis
Code Free Data Science;https://www.coursera.org/learn/code-free-data-science;4.3;216;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of California San Diego
Data Science with Real World Data in Pharma;https://www.coursera.org/learn/data-science-in-rwd-analysis;4.8;13;0;Course · 1 - 3 Months;Intermediate;Coursera;Genentech
Applied Data Science Capstone;https://www.coursera.org/learn/applied-data-science-capstone;4.7;7400;0;Course · 1 - 3 Months;Intermediate;Coursera;IBM
Data Science for Professionals;https://www.coursera.org/learn/data-science-for-professionals;4.7;21;0;Course · 1 - 4 Weeks;Beginner;Coursera;Coursera
Introduction to Statistics;https://www.coursera.org/learn/stanford-statistics;4.6;4300;0;Course · 1 - 3 Months;Beginner;Coursera;Stanford University
Introduction to Data Analytics;https://www.coursera.org/learn/introduction-to-data-analytics;4.8;20000;0;Course · 1 - 3 Months;Beginner;Coursera;IBM
Probability Foundations for Data Science and AI;https://www.coursera.org/learn/probability-theory-foundation-for-data-science;4.5;279;0;Course · 1 - 3 Months;Intermediate;Coursera;University of Colorado Boulder
AI Agents and Agentic AI in Python: Powered by Generative AI;https://www.coursera.org/specializations/ai-agents-python;4.8;8000;0;Specialization · 3 - 6 Months;Beginner;Coursera;Vanderbilt University
Python Programming Fundamentals;https://www.coursera.org/learn/python-programming-fundamentals;4.0;64;0;Course · 1 - 4 Weeks;Beginner;Coursera;Duke University
Certificate Course in Pharmaceutical Market Access;https://www.udemy.com/course/pharmaceutical-market-access/;4.2;236;0;22.5 hours;All Levels;Udemy;Access Health Academy
Data-Oriented Python Programming and Debugging;https://www.coursera.org/specializations/data-oriented-python-programming-and-debugging;4.3;16;0;Specialization · 3 - 6 Months;Intermediate;Coursera;University of Michigan
Python for Cybersecurity;https://www.coursera.org/specializations/pythonforcybersecurity;4.5;545;0;Specialization · 3 - 6 Months;Intermediate;Coursera;Infosec
Python Developer: From Basics to Case Studies;https://www.coursera.org/specializations/python-developer-basics-to-case-studies;4.8;98;0;Specialization · 3 - 6 Months;Beginner;Coursera;EDUCBA
Python Basics: Learn, Apply & Build Programs;https://www.coursera.org/learn/python-basics-learn-apply-build-programs;4.5;33;0;Course · 1 - 4 Weeks;Mixed;Coursera;EDUCBA
Python 3 Programming;https://www.coursera.org/specializations/python-3-programming;4.8;23000;0;Specialization · 3 - 6 Months;Beginner;Coursera;University of Michigan
Microsoft Python Development;https://www.coursera.org/professional-certificates/microsoft-python-developer;4.4;612;0;Professional Certificate · 3 - 6 Months;Beginner;Coursera;Microsoft
Python Programming Fundamentals;https://www.coursera.org/learn/microsoft-python-programming-fundamentals;4.5;500;0;Course · 1 - 3 Months;Beginner;Coursera;Microsoft
Introduction to Python Programming;https://www.coursera.org/learn/python-programming-intro;4.6;1200;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of Pennsylvania
Programming in Python;https://www.coursera.org/learn/programming-in-python;4.6;1800;0;Course · 1 - 3 Months;Beginner;Coursera;Meta
Programming for Everybody (Getting Started with Python);https://www.coursera.org/learn/python;4.8;233000;0;Course · 1 - 3 Months;Beginner;Coursera;University of Michigan
Python Programming Essentials Training;https://www.coursera.org/learn/python-programming-essentials-training;3.1;8;0;Course · 1 - 4 Weeks;Beginner;Coursera;Simplilearn
Statistics with Python;https://www.coursera.org/specializations/statistics-with-python;4.6;3300;0;Specialization · 1 - 3 Months;Beginner;Coursera;University of Michigan
An Introduction to Programming using Python;https://www.coursera.org/learn/an-introduction-to-programming-using-python;4.8;105;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of Leeds
Google IT Automation with Python;https://www.coursera.org/professional-certificates/google-it-automation;4.8;53000;0;Professional Certificate · 3 - 6 Months;Advanced;Coursera;Google
Mastering Healthcare Fundamentals;https://www.udemy.com/course/mastering-healthcare-fundamentals/;4.4;1530;0;2.0 hours;Intermediate;Udemy;D B
Python for the Absolute Beginner;https://www.coursera.org/learn/python-for-the-absolute-beginner;4.6;29;0;Course · 1 - 3 Months;Beginner;Coursera;KodeKloud
Problem Solving, Python Programming, and Video Games;https://www.coursera.org/learn/problem-solving-programming-video-games;4.3;235;0;Course · 1 - 3 Months;Beginner;Coursera;University of Alberta
Python Basics;https://www.coursera.org/learn/python-basics;4.8;18000;0;Course · 1 - 4 Weeks;Beginner;Coursera;University of Michigan
Data Structures and Algorithms;https://www.coursera.org/specializations/data-structures-algorithms;4.6;17000;0;Specialization · 3 - 6 Months;Intermediate;Coursera;University of California San Diego
Create Your First Python Program From UST;https://www.coursera.org/projects/first-python-program-ust;4.6;3100;0;Guided Project · Less Than 2 Hours;Beginner;Coursera;Coursera
Introduction to R Programming for Data Science;https://www.coursera.org/learn/introducton-r-programming-data-science;4.5;603;0;Course · 1 - 3 Months;Beginner;Coursera;IBM
Introductory C Programming;https://www.coursera.org/specializations/c-programming;4.6;7400;0;Specialization · 3 - 6 Months;Beginner;Coursera;Duke University
Introduction to Programming with Python and Java;https://www.coursera.org/specializations/programming-python-java;4.5;1900;0;Specialization · 3 - 6 Months;Beginner;Coursera;University of Pennsylvania
Python: A Guided Journey from Introduction to Application;https://www.coursera.org/specializations/python-a-guided-journey-from-introduction-to-application;4.0;74;0;Specialization · 3 - 6 Months;Beginner;Coursera;Arizona State University
Introduction to Scripting in Python;https://www.coursera.org/specializations/introduction-scripting-in-python;4.7;4300;0;Specialization · 3 - 6 Months;Beginner;Coursera;Rice University
Learn Python;https://www.coursera.org/specializations/learn-python;4.6;54;0;Specialization · 1 - 4 Weeks;Beginner;Coursera;Scrimba
Python Data Analysis;https://www.coursera.org/learn/python-analysis;4.7;893;0;Course · 1 - 4 Weeks;Beginner;Coursera;Rice University
Python Data Structures;https://www.coursera.org/learn/python-data;4.9;97000;0;Course · 1 - 3 Months;Beginner;Coursera;University of Michigan
Introduction to Python;https://www.coursera.org/projects/introduction-to-python;4.5;2200;0;Guided Project · Less Than 2 Hours;Beginner;Coursera;Coursera
Computer Science: Programming with a Purpose;https://www.coursera.org/learn/cs-programming-java;4.7;1300;0;Course · 1 - 3 Months;Beginner;Coursera;Princeton University
Introduction to Web Development;https://www.coursera.org/learn/introduction-to-web-development;4.1;36;0;Course · 1 - 3 Months;Beginner;Coursera;Microsoft
Meta Front-End Developer;https://www.coursera.org/professional-certificates/meta-front-end-developer;4.7;24000;0;Professional Certificate · 3 - 6 Months;Beginner;Coursera;Meta
Professional Caregiver Diploma — Home Health & Nurse Aide,UK;https://www.udemy.com/course/home-health-aidecaregiver-nurse-aide-certification-course/;4.6;502;0;14.0 hours;All Levels;Udemy;HeartbeatsZ Academy, UK
HIPAA Compliance Mastery (2026);https://www.udemy.com/course/hipaa-compliance-mastery/;4.5;79;0;6.0 hours;All Levels;Udemy;Serge Movsesyan | CISSP / CCSP / CASP+
Intro to Electronic Healthcare Records (EHR), Plain & Simple;https://www.udemy.com/course/h21-electronic-healthcare-records-updated-plainsimple/;4.4;2454;0;1.0 hours;All Levels;Udemy;Thomas Giordano
Hospital Management: From Administration to Operations;https://www.udemy.com/course/hospital-management-from-administration-to-operations/;3.9;94;0;10.5 hours;All Levels;Udemy;EDUCBA Bridging the Gap
Fundamentals of Health Informatics;https://www.udemy.com/course/fundamentals-of-health-informatics/;4.0;10;0;4.0 hours;All Levels;Udemy;Dilip Jetty
Intro to Analytics in Healthcare, Plain & Simple;https://www.udemy.com/course/h16-advanced-analytics-in-healthcare-plain-simple/;4.6;961;0;1.0 hours;All Levels;Udemy;Thomas Giordano
Healthcare IT in Digital Era: HL7, EHR, and Interoperability;https://www.udemy.com/course/healthcare-it-in-digital-era-hl7-ehr-and-interoperability/;4.9;35;0;1.5 hours;All Levels;Udemy;Arbab Majeed
Tableau For Healthcare;https://www.udemy.com/course/tableau-for-healthcare/;4.5;697;0;3.0 hours;Beginner;Udemy;Mark Connolly
Fundamentals of Medical Billing and Revenue Cycle Management;https://www.udemy.com/course/fundamentals-of-medical-billing-and-revenue-cycle-management/;5.0;2;0;5.0 hours;All Levels;Udemy;Dilip Jetty
