domain,title,organization,rating,reviews,level,course_type,duration,url
Data Science,Analyse de données Google,Google,"4,8",177 k avis,Débutant,Certificat Professionnel,3 à 6 mois,https://www.coursera.org/professional-certificates/google-data-analytics
Data Science,Mathématiques pour l'apprentissage automatique et la science des données,DeepLearning.AI,"4,6","3,1 k avis",Intermédiaire,Spécialisation,1 à 3 mois,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science
Data Science,Google Advanced Data Analytics,Google,"4,8","9,9 k avis",Avancées,Certificat Professionnel,3 à 6 mois,https://www.coursera.org/professional-certificates/google-advanced-data-analytics
Data Science,Probabilités et statistiques pour l'apprentissage automatique et la science des données,DeepLearning.AI,"4,6",676 avis,Intermédiaire,Cours,1 à 4 semaines,https://www.coursera.org/learn/machine-learning-probability-and-statistics
Data Science,Statistiques avancées pour la science des données,Johns Hopkins University,"4,4",787 avis,Avancées,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/advanced-statistics-data-science
Data Science,Mathematical Foundations for Data Science and Analytics,University of Pittsburgh,"4,1",7 avis,Débutant,Spécialisation,1 à 3 mois,https://www.coursera.org/specializations/mathematical-foundations-for-data-science-and-analysis
Data Science,Data Science Beyond the Basics (ML+DS),Coursera,"4,2",26 avis,Intermédiaire,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/data-science-beyond-the-basics-ml-and-ds
Data Science,Défi de la science des données,Coursera,"4,7",204 avis,Intermédiaire,Projet Guidé,Moins de 2 heures,https://www.coursera.org/projects/data-science-challenge
Data Science,cours intensif en science des données,Johns Hopkins University,"4,5","8,4 k avis",Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/data-science-course
Machine Learning,Apprentissage automatique,Plusieurs enseignants,"4,9",38 k avis,Débutant,Spécialisation,1 à 3 mois,https://www.coursera.org/specializations/machine-learning-introduction
Machine Learning,Apprentissage automatique avec Python,IBM,"4,7",18 k avis,Intermédiaire,Cours,1 à 3 mois,https://www.coursera.org/learn/machine-learning-with-python
Machine Learning,IBM Machine Learning,IBM,"4,6","3,6 k avis",Intermédiaire,Certificat Professionnel,3 à 6 mois,https://www.coursera.org/professional-certificates/ibm-machine-learning
Machine Learning,Mathématiques pour l'apprentissage automatique et la science des données,DeepLearning.AI,"4,6","3,1 k avis",Intermédiaire,Spécialisation,1 à 3 mois,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science
Machine Learning,Algèbre linéaire pour l'apprentissage automatique et la science des données,DeepLearning.AI,"4,6","2,3 k avis",Intermédiaire,Cours,1 à 4 semaines,https://www.coursera.org/learn/machine-learning-linear-algebra
Machine Learning,Developing Machine Learning Solutions,Amazon Web Services,"4,5",105 avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/developing-machine-learning-solutions
Machine Learning,Mathématiques pour l'apprentissage automatique,Imperial College London,"4,6",15 k avis,Débutant,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/mathematics-machine-learning
Machine Learning,Fundamentals of Machine Learning and Artificial Intelligence,Amazon Web Services,"4,6","2,6 k avis",Mixte,Cours,1 à 4 semaines,https://www.coursera.org/learn/fundamentals-of-machine-learning-and-artificial-intelligence
Machine Learning,Apprentissage automatique,University of Washington,"4,6",16 k avis,Intermédiaire,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/machine-learning
Machine Learning,Apprentissage automatique supervisé : régression et classification,DeepLearning.AI,"4,9",32 k avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/machine-learning
Machine Learning,Microsoft Azure Machine Learning,Microsoft,"4,4",284 avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/microsoft-azure-machine-learning
Machine Learning,Les rouages de l'apprentissage automatique,Google,"4,8",599 avis,Avancées,Cours,1 à 3 mois,https://www.coursera.org/learn/the-nuts-and-bolts-of-machine-learning
Machine Learning,Deep learning,DeepLearning.AI,"4,8",147 k avis,Intermédiaire,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/deep-learning
Machine Learning,Défi de la science des données,Coursera,"4,7",204 avis,Intermédiaire,Projet Guidé,Moins de 2 heures,https://www.coursera.org/projects/data-science-challenge
Machine Learning,Introduction à l'Apprentissage automatique,Duke University,"4,7","3,8 k avis",Intermédiaire,Cours,1 à 3 mois,https://www.coursera.org/learn/machine-learning-duke
Machine Learning,IBM Introduction à l'apprentissage automatique,IBM,"4,6","3,3 k avis",Intermédiaire,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/ibm-intro-machine-learning
Machine Learning,MLOps | Machine Learning Operations,Duke University,"4,2",581 avis,Avancées,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/mlops-machine-learning-duke
Machine Learning,Apprentissage automatique en production,DeepLearning.AI,"4,8","3,4 k avis",Intermédiaire,Cours,1 à 4 semaines,https://www.coursera.org/learn/introduction-to-machine-learning-in-production
Machine Learning,L'apprentissage automatique pour tous,University of London,"4,7","3,5 k avis",Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/uol-machine-learning-for-all
Machine Learning,Probabilités et statistiques pour l'apprentissage automatique et la science des données,DeepLearning.AI,"4,6",676 avis,Intermédiaire,Cours,1 à 4 semaines,https://www.coursera.org/learn/machine-learning-probability-and-statistics
Machine Learning,Apprentissage automatique appliqué en Python,University of Michigan,"4,6","8,8 k avis",Intermédiaire,Cours,1 à 4 semaines,https://www.coursera.org/learn/python-machine-learning
Machine Learning,Calculs pour l'apprentissage automatique et la science des données,DeepLearning.AI,"4,8",944 avis,Intermédiaire,Cours,1 à 4 semaines,https://www.coursera.org/learn/machine-learning-calculus
Machine Learning,Fondements de l'apprentissage automatique,Coursera,"4,6",11 avis,Intermédiaire,Cours,1 à 4 semaines,https://www.coursera.org/learn/foundations-of-machine-learning-1
Machine Learning,Introduction à l'IA et à l'apprentissage automatique sur Google Cloud,Google Cloud,"4,6",317 avis,Débutant,Cours,1 à 3 mois,https://www.coursera.org/learn/introduction-to-ai-and-machine-learning-on-google-cloud
Machine Learning,Introduction à l'apprentissage automatique pour tous,IBM,"4,6",304 avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/machine-learning-introduction-for-everyone
Machine Learning,Apprentissage automatique,O.P. Jindal Global University,"3,6",7 avis,Débutant,Cours,1 à 3 mois,https://www.coursera.org/learn/machine-learning-1
Machine Learning,AI and Machine Learning Essentials with Python,University of Pennsylvania,"4,5",42 avis,Intermédiaire,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/ai-machinelearning-essentials
Machine Learning,L'IA pour tous,DeepLearning.AI,"4,8",52 k avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/ai-for-everyone
Machine Learning,"Machine Learning with Scikit-learn, PyTorch & Hugging Face",Coursera,"4,6",20 avis,Intermédiaire,Certificat Professionnel,3 à 6 mois,https://www.coursera.org/professional-certificates/machine-learning-scikit-learn-pytorch-hugging-face
Machine Learning,Preparing for Google Cloud Certification: Machine Learning Engineer,Google Cloud,"4,4","4,9 k avis",Intermédiaire,Certificat Professionnel,3 à 6 mois,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate
Machine Learning,IBM AI Engineering,IBM,"4,6",22 k avis,Intermédiaire,Certificat Professionnel,3 à 6 mois,https://www.coursera.org/professional-certificates/ai-engineer
Machine Learning,Les bases de l'apprentissage automatique,Sungkyunkwan University,"4,4",91 avis,Mixte,Cours,1 à 4 semaines,https://www.coursera.org/learn/machine-learning-basics
Machine Learning,Machine Learning for Absolute Beginners - Level 1,Packt,,,Débutant,Cours,1 à 3 mois,https://www.coursera.org/learn/packt-machine-learning-for-absolute-beginners-level-1-yqflt
Machine Learning,Machine Learning for Trading,Plusieurs enseignants,"3,8","1,2 k avis",Intermédiaire,Spécialisation,1 à 3 mois,https://www.coursera.org/specializations/machine-learning-trading
Machine Learning,Mathématiques pour l’apprentissage automatique : algèbre linéaire,Imperial College London,"4,6",13 k avis,Débutant,Cours,1 à 3 mois,https://www.coursera.org/learn/linear-algebra-machine-learning
Machine Learning,Databricks Machine Learning Fundamentals,Coursera,,,Intermédiaire,Cours,1 à 4 semaines,https://www.coursera.org/learn/databricks-machine-learning-fundamentals
Machine Learning,Créer des modèles d'apprentissage automatique dans Microsoft Azure,Microsoft,"4,5",328 avis,Intermédiaire,Cours,1 à 4 semaines,https://www.coursera.org/learn/create-machine-learning-models-in-microsoft-azure
Machine Learning,Pipelines d'apprentissage automatique avec Azure ML Studio,Coursera,"4,5",823 avis,Débutant,Projet Guidé,Moins de 2 heures,https://www.coursera.org/projects/azure-machine-learning-studio-pipeline
Machine Learning,Introduction à l'apprentissage automatique embarqué,Edge Impulse,"4,8",751 avis,Intermédiaire,Cours,1 à 4 semaines,https://www.coursera.org/learn/introduction-to-embedded-machine-learning
Machine Learning,Développeur IA IBM,IBM,"4,6",80 k avis,Débutant,Certificat Professionnel,3 à 6 mois,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai
Machine Learning,Analyse exploratoire des données pour l'apprentissage automatique,IBM,"4,6","2,5 k avis",Intermédiaire,Cours,1 à 3 mois,https://www.coursera.org/learn/ibm-exploratory-data-analysis-for-machine-learning
Machine Learning,Apprendre TensorFlow : le Hello World de l'apprentissage automatique,Google Cloud,4,20 avis,Débutant,Projet,Moins de 2 heures,https://www.coursera.org/projects/googlecloud-learning-tensorflow-the-hello-world-of-machine-learning-063j7
Machine Learning,SAS Machine Learning Engineer,SAS,"4,7",103 avis,Avancées,Certificat Professionnel,3 à 6 mois,https://www.coursera.org/professional-certificates/sas-machine-learning-engineer
Machine Learning,Principes de l'apprentissage automatique pour les soins de santé,Stanford University,"4,8",610 avis,Débutant,Cours,1 à 3 mois,https://www.coursera.org/learn/fundamental-machine-learning-healthcare
Machine Learning,Advanced Machine Learning on Google Cloud,Google Cloud,"4,5","1,5 k avis",Avancées,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/advanced-machine-learning-tensorflow-gcp
Machine Learning,Gestion des investissements avec Python et l'apprentissage automatique,EDHEC Business School,"4,6","1,8 k avis",Débutant,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/investment-management-python-machine-learning
Machine Learning,Foundations of AI and Machine Learning,Microsoft,"4,6",240 avis,Intermédiaire,Cours,1 à 3 mois,https://www.coursera.org/learn/foundations-of-ai-and-machine-learning
Machine Learning,Machine Learning on Google Cloud,Google Cloud,"4,4","3,8 k avis",Intermédiaire,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/machine-learning-tensorflow-gcp
Machine Learning,Machine Learning Fundamentals,Dartmouth College,,,Intermédiaire,Cours,1 à 3 mois,https://www.coursera.org/learn/machine-learning-fundamentals-dartmouth
Machine Learning,Apprentissage automatique : une vue d'ensemble,Politecnico di Milano,"4,6",203 avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/machine-learning-overview
Artificial Intelligence,Introduction à l’intelligence artificielle (IA),IBM,"4,7",22 k avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/introduction-to-ai
Artificial Intelligence,L'IA pour tous,DeepLearning.AI,"4,8",52 k avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/ai-for-everyone
Artificial Intelligence,Introduction à l'IA,Google,"4,8",11 k avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/google-introduction-to-ai
Artificial Intelligence,L'IA au service des entreprises,University of Pennsylvania,"4,7","1,8 k avis",Débutant,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/ai-for-business-wharton
Artificial Intelligence,Principes essentiels de l'IA,Google,"4,8",19 k avis,Débutant,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/ai-essentials-google
Artificial Intelligence,Fundamentals of Machine Learning and Artificial Intelligence,Amazon Web Services,"4,6","2,6 k avis",Mixte,Cours,1 à 4 semaines,https://www.coursera.org/learn/fundamentals-of-machine-learning-and-artificial-intelligence
Artificial Intelligence,Generative AI Leader,Google Cloud,"4,7",905 avis,Débutant,Certificat Professionnel,3 à 6 mois,https://www.coursera.org/professional-certificates/generative-ai-for-leaders
Artificial Intelligence,Exploring Artificial Intelligence Use Cases and Applications,Amazon Web Services,"4,5",232 avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/exploring-artificial-intelligence-use-cases-and-applications
Artificial Intelligence,Microsoft AI & ML Engineering,Microsoft,"4,6",323 avis,Intermédiaire,Certificat Professionnel,3 à 6 mois,https://www.coursera.org/professional-certificates/microsoft-ai-and-ml-engineering
Artificial Intelligence,Apprentissage automatique,Plusieurs enseignants,"4,9",38 k avis,Débutant,Spécialisation,1 à 3 mois,https://www.coursera.org/specializations/machine-learning-introduction
Artificial Intelligence,Les fondements de l'IA pour tous,IBM,"4,7",35 k avis,Débutant,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/ai-foundations-for-everyone
Artificial Intelligence,IBM Generative AI Engineering,IBM,"4,6",98 k avis,Débutant,Certificat Professionnel,3 à 6 mois,https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering
Artificial Intelligence,Introduction à l'IA et à l'apprentissage automatique sur Google Cloud,Google Cloud,"4,6",317 avis,Débutant,Cours,1 à 3 mois,https://www.coursera.org/learn/introduction-to-ai-and-machine-learning-on-google-cloud
Artificial Intelligence,Introduction à l'IA générative,Google Cloud,"4,7",11 k avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/introduction-to-generative-ai
Artificial Intelligence,Artificial Intelligence for Healthcare,SkillUp,,,Intermédiaire,Spécialisation,1 à 3 mois,https://www.coursera.org/specializations/artificial-intelligence-for-healthcare
Artificial Intelligence,Agentic AI and AI Agents for Leaders,Vanderbilt University,"4,8","9,2 k avis",Débutant,Spécialisation,1 à 3 mois,https://www.coursera.org/specializations/ai-agents-for-leaders
Artificial Intelligence,Deep learning,DeepLearning.AI,"4,8",147 k avis,Intermédiaire,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/deep-learning
Artificial Intelligence,Intelligence artificielle sur Microsoft Azure,Microsoft,"4,5",1 k avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/artificial-intelligence-microsoft-azure
Artificial Intelligence,Chef de produit IA IBM,IBM,"4,7",35 k avis,Débutant,Certificat Professionnel,3 à 6 mois,https://www.coursera.org/professional-certificates/ibm-ai-product-manager
Artificial Intelligence,AI Agent Developer,Vanderbilt University,"4,8","9,6 k avis",Débutant,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/ai-agents
Artificial Intelligence,IBM AI Engineering,IBM,"4,6",22 k avis,Intermédiaire,Certificat Professionnel,3 à 6 mois,https://www.coursera.org/professional-certificates/ai-engineer
Artificial Intelligence,Développeur IA IBM,IBM,"4,6",80 k avis,Débutant,Certificat Professionnel,3 à 6 mois,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai
Artificial Intelligence,Les fondamentaux du prompting,Google,"4,8","6,3 k avis",Débutant,Spécialisation,1 à 4 semaines,https://www.coursera.org/specializations/prompting-essentials-google
Artificial Intelligence,L'essentiel de l'Intelligence artificielle (IA),University of Pennsylvania,"4,4",33 avis,Intermédiaire,Cours,1 à 4 semaines,https://www.coursera.org/learn/artificial-intelligence-essentials
Artificial Intelligence,IBM RAG and Agentic AI,IBM,"4,6",705 avis,Avancées,Certificat Professionnel,3 à 6 mois,https://www.coursera.org/professional-certificates/ibm-rag-and-agentic-ai
Artificial Intelligence,ChatGPT - Artificial Intelligence (AI) That Works For You,Alex Genadinik,,,Mixte,Cours,1 à 4 semaines,https://www.coursera.org/learn/chatgpt-introduction
Artificial Intelligence,Master of Science in Artificial Intelligence,University of Colorado Boulder,,,Diplôme,24 months,,https://www.coursera.org/degrees/ms-artificial-intelligence-boulder
Artificial Intelligence,Intelligence artificielle,O.P. Jindal Global University,,,Mixte,Cours,3 à 6 mois,https://www.coursera.org/learn/artificial-intelligence-1
Artificial Intelligence,Développer des applications d'IA avec Python et Flask,IBM,"4,5","1,3 k avis",Intermédiaire,Cours,1 à 4 semaines,https://www.coursera.org/learn/python-project-for-ai-application-development
Artificial Intelligence,Create (Artificial Intelligence) AI VIDEOS WITH ZERO FILMING,Alex Genadinik,,,Mixte,Cours,1 à 4 semaines,https://www.coursera.org/learn/ai-video
Artificial Intelligence,Generative AI Strategic Leader,Vanderbilt University,"4,8","9,1 k avis",Débutant,Spécialisation,1 à 3 mois,https://www.coursera.org/specializations/generative-ai-strategic-leader
Artificial Intelligence,Google Business Intelligence,Google,"4,8",7 k avis,Avancées,Certificat Professionnel,3 à 6 mois,https://www.coursera.org/professional-certificates/google-business-intelligence
Artificial Intelligence,Introduction à l'Intelligence artificielle (IA),University of Illinois Urbana-Champaign,"4,6",56 avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/intro-to-artificial-intelligence
Artificial Intelligence,Understand and Apply Artificial Intelligence Fundamentals,EDUCBA,,,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/understand-apply-artificial-intelligence-fundamentals
Artificial Intelligence,L'intelligence artificielle dans le marketing,University of Virginia,"4,6",351 avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/uva-darden-artificial-intelligence-marketing
Artificial Intelligence,Intelligence artificielle : une vue d'ensemble,Politecnico di Milano,"4,6",814 avis,Débutant,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/artificial-intelligence-overview
Artificial Intelligence,AI Agents and Agentic AI in Python: Powered by Generative AI,Vanderbilt University,"4,8",8 k avis,Débutant,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/ai-agents-python
Artificial Intelligence,L'IA dans les soins de santé,Stanford University,"4,7","2,5 k avis",Débutant,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/ai-healthcare
Artificial Intelligence,AI Security: Security in the Age of Artificial Intelligence,Coursera,,,Intermédiaire,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/ai-security-security-in-the-age-of-artificial-intelligence
Artificial Intelligence,Intelligence artificielle : Éthique et défis sociétaux,Lund University,"4,7",346 avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/ai-ethics
Artificial Intelligence,Intelligence artificielle,Illinois Tech,"4,3",55 avis,Débutant,Cours,1 à 3 mois,https://www.coursera.org/learn/illinois-tech-artificial-intelligence
Artificial Intelligence,L’IA générative pour tous,DeepLearning.AI,"4,8","4,9 k avis",Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/generative-ai-for-everyone
Artificial Intelligence,AWS Artificial Intelligence Practitioner,Amazon Web Services,"4,4",13 avis,Débutant,Cours,1 à 3 mois,https://www.coursera.org/learn/aws-artificial-intelligence-practitioner
Artificial Intelligence,Innovations dans le domaine des technologies de l'investissement : Intelligence artificielle,University of Michigan,"4,7",418 avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/invest-tech
Artificial Intelligence,GenAI Basics - Comment fonctionnent les LLM ?,Duke University,"3,9",35 avis,Débutant,Projet Guidé,Moins de 2 heures,https://www.coursera.org/projects/genai-basics-how-llms-work
Artificial Intelligence,Principes fondamentaux de l'infrastructure et des opérations de l'IA,NVIDIA,"4,6",464 avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/ai-infrastructure-operations-fundamentals
Artificial Intelligence,Ingénierie de l'IA,Scrimba,"4,6",304 avis,Intermédiaire,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/ai-engineering
Artificial Intelligence,AI Foundations for Business Professionals,"Saïd Business School, University of Oxford","4,8",246 avis,Débutant,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/ai-foundations-business-professionals
Python Programming,"Python pour la science des données, l'IA et le développement",IBM,"4,6",43 k avis,Débutant,Cours,1 à 3 mois,https://www.coursera.org/learn/python-for-applied-data-science-ai
Python Programming,Cours intensif sur Python,Google,"4,8",40 k avis,Débutant,Cours,1 à 3 mois,https://www.coursera.org/learn/python-crash-course
Python Programming,Certified Entry-Level Python Programmer (PCEP),Logical Operations,,,Débutant,Spécialisation,1 à 3 mois,https://www.coursera.org/specializations/certified-entry-level-python-programmer-pcep
Python Programming,Introduction to Data Analysis Using Python,Google,,,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/introduction-to-data-analysis-using-python
Python Programming,Introduction to Programming with Python,Logical Operations,,,Débutant,Spécialisation,1 à 3 mois,https://www.coursera.org/specializations/intro-programming-python
Python Programming,La programmation pour tous (S'initier à Python),University of Michigan,"4,8",233 k avis,Débutant,Cours,1 à 3 mois,https://www.coursera.org/learn/python
Python Programming,Programmation en Python,Meta,"4,6","1,8 k avis",Débutant,Cours,1 à 3 mois,https://www.coursera.org/learn/programming-in-python
Python Programming,Principes de base de la programmation en Python,Microsoft,"4,5",500 avis,Débutant,Cours,1 à 3 mois,https://www.coursera.org/learn/microsoft-python-programming-fundamentals
Python Programming,Introduction à la programmation en Python,University of Pennsylvania,"4,6","1,2 k avis",Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/python-programming-intro
Python Programming,Python pour tous,University of Michigan,"4,8",280 k avis,Débutant,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/python
Python Programming,Microsoft Python Development,Microsoft,"4,4",612 avis,Débutant,Certificat Professionnel,3 à 6 mois,https://www.coursera.org/professional-certificates/microsoft-python-developer
Python Programming,Programmation Python 3,University of Michigan,"4,8",23 k avis,Débutant,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/python-3-programming
Python Programming,Python Developer: From Basics to Case Studies,EDUCBA,"4,8",99 avis,Débutant,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/python-developer-basics-to-case-studies
Python Programming,Programming in Python: A Hands-on Introduction,Codio,"4,5",483 avis,Débutant,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/hands-on-python
Python Programming,"Les bases de Python : Apprendre, appliquer et créer des programmes",EDUCBA,"4,5",33 avis,Mixte,Cours,1 à 4 semaines,https://www.coursera.org/learn/python-basics-learn-apply-build-programs
Python Programming,Python pour la cybersécurité,Infosec,"4,5",545 avis,Intermédiaire,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/pythonforcybersecurity
Python Programming,L'essentiel de la programmation en Python,Rice University,"4,8","3,6 k avis",Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/python-programming
Python Programming,Python Programming with Red Hat,Red Hat,,,Intermédiaire,Cours,3 à 6 mois,https://www.coursera.org/learn/python-programming-with-red-hat
Python Programming,Science des données IBM,IBM,"4,6",149 k avis,Débutant,Certificat Professionnel,3 à 6 mois,https://www.coursera.org/professional-certificates/ibm-data-science
Python Programming,Analyse des Données avec Python,IBM,"4,7",20 k avis,Intermédiaire,Cours,1 à 3 mois,https://www.coursera.org/learn/data-analysis-with-python
Python Programming,Google IT Automation with Python,Google,"4,8",53 k avis,Avancées,Certificat Professionnel,3 à 6 mois,https://www.coursera.org/professional-certificates/google-it-automation
Python Programming,Data-Oriented Python Programming and Debugging,University of Michigan,"4,3",16 avis,Intermédiaire,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/data-oriented-python-programming-and-debugging
Python Programming,Créez votre premier programme Python à partir de UST,Coursera,"4,6","3,1 k avis",Débutant,Projet Guidé,Moins de 2 heures,https://www.coursera.org/projects/first-python-program-ust
Python Programming,L'informatique : Programmer dans un but précis,Princeton University,"4,7","1,3 k avis",Débutant,Cours,1 à 3 mois,https://www.coursera.org/learn/cs-programming-java
Python Programming,AI Agents and Agentic AI in Python: Powered by Generative AI,Vanderbilt University,"4,8",8 k avis,Débutant,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/ai-agents-python
Python Programming,Bases de Python,University of Michigan,"4,8",18 k avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/python-basics
Python Programming,Introduction à Python,Coursera,"4,5","2,2 k avis",Débutant,Projet Guidé,Moins de 2 heures,https://www.coursera.org/projects/introduction-to-python
Python Programming,Structures de données et Algorithmes,University of California San Diego,"4,6",17 k avis,Intermédiaire,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/data-structures-algorithms
Python Programming,La voie express vers la science des données : Programmation Python,University of Colorado Boulder,"4,7",308 avis,Débutant,Spécialisation,1 à 3 mois,https://www.coursera.org/specializations/python-programming-data-science
Python Programming,Classes et héritage en Python,University of Michigan,"4,7","3,7 k avis",Intermédiaire,Cours,1 à 4 semaines,https://www.coursera.org/learn/python-classes-inheritance
Python Programming,Introduction aux principes fondamentaux de Python,University of Colorado Boulder,"4,8",226 avis,Débutant,Cours,1 à 4 semaines,https://www.coursera.org/learn/introduction-python-fundamentals
Python Programming,Statistiques avec Python,University of Michigan,"4,6","3,3 k avis",Débutant,Spécialisation,1 à 3 mois,https://www.coursera.org/specializations/statistics-with-python
Python Programming,Structure de données Python,University of Michigan,"4,9",97 k avis,Débutant,Cours,1 à 3 mois,https://www.coursera.org/learn/python-data
Python Programming,"Résolution de problèmes, programmation Python et jeux vidéo",University of Alberta,"4,3",235 avis,Débutant,Cours,1 à 3 mois,https://www.coursera.org/learn/problem-solving-programming-video-games
Python Programming,Certified Associate in Python Programming (PCAP),Logical Operations,,,Intermédiaire,Spécialisation,1 à 3 mois,https://www.coursera.org/specializations/certified-associate-python-programming-pcap
Python Programming,Science des Données Appliquée avec Python,University of Michigan,"4,5",34 k avis,Intermédiaire,Spécialisation,3 à 6 mois,https://www.coursera.org/specializations/data-science-python
